file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\제주휘낭시에_5.jpg,98.26155913978495,560.0,372.0,1.24,7.657308101654053,0.0,0.0,0.020814132104454684,5.0,0.23069792985916138,0.21173931658267975,0.18305154144763947,0.17733347415924072,0.04764638841152191,0.034405842423439026,제주휘낭시에_5
data\images_raw\제주휘낭시에_6.jpg,116.65791977433544,560.0,747.0,1.8666666666666667,7.786321640014648,0.0,0.0,0.017467489003633582,5.0,0.22516800463199615,0.21512246131896973,0.19347137212753296,0.18763749301433563,0.031696632504463196,0.027484968304634094,제주휘낭시에_6
data\images_raw\제주휴게소제주아라점_1.jpg,134.7813061770893,560.0,747.0,1.8666666666666667,7.246113300323486,0.36347293937655384,0.0,0.0,0.0,0.21855294704437256,0.19036202132701874,0.20258677005767822,0.19760234653949738,0.015966176986694336,-0.007240325212478638,제주휴게소제주아라점_1
data\images_raw\제주휴게소제주아라점_2.jpg,127.53978198167628,560.0,421.0,1.4033333333333333,7.319429397583008,0.0,0.09726840855106889,0.0,0.0,0.19927291572093964,0.1887570172548294,0.21516507863998413,0.19273389875888824,-0.015892162919044495,-0.003976881504058838,제주휴게소제주아라점_2
data\images_raw\제주휴게소제주아라점_3.jpg,129.13743637597557,560.0,421.0,1.4033333333333333,7.766498565673828,0.07217933491686461,0.0,0.0658805564981337,1.0,0.1949864625930786,0.15505369007587433,0.1852734386920929,0.17587338387966156,0.009713023900985718,-0.02081969380378723,제주휴게소제주아라점_3
data\images_raw\제주휴게소제주아라점_4.jpg,130.31653996940142,560.0,747.0,1.8666666666666667,7.6436638832092285,0.0,0.0,0.2532750047810289,26.0,0.2073020488023758,0.18128836154937744,0.19857223331928253,0.19231073558330536,0.008729815483093262,-0.011022374033927917,제주휴게소제주아라점_4
data\images_raw\제주휴게소제주아라점_5.jpg,124.73050559891415,560.0,421.0,1.4033333333333333,7.839921474456787,0.0,0.0,0.134916864608076,14.0,0.22589917480945587,0.209275484085083,0.19564463198184967,0.18749575316905975,0.0302545428276062,0.021779730916023254,제주휴게소제주아라점_5
data\images_raw\제주휴게소제주아라점_6.jpg,102.48689769256872,560.0,421.0,1.4033333333333333,7.63092041015625,0.0,0.0,0.11431964709874448,2.0,0.24172067642211914,0.23032186925411224,0.21519844233989716,0.2003183811903,0.026522234082221985,0.030003488063812256,제주휴게소제주아라점_6
data\images_raw\제쭈당_1.jpg,139.2310544217687,560.0,420.0,1.4,7.799385070800781,0.0,0.0,0.0,0.0,0.2108251005411148,0.1971900910139084,0.26326900720596313,0.23386932909488678,-0.05244390666484833,-0.036679238080978394,제쭈당_1
data\images_raw\제쭈당_2.jpg,103.22007227891156,560.0,420.0,1.4,7.463706016540527,0.04285289115646258,0.0,0.08650510204081632,5.0,0.23951835930347443,0.21903860569000244,0.184827983379364,0.16774046421051025,0.05469037592411041,0.05129814147949219,제쭈당_2
data\images_raw\제쭈당_3.jpg,103.8473389847512,560.0,712.0,1.8666666666666667,1.9931039810180664,0.0,0.0,0.030848715890850722,8.0,0.19423843920230865,0.18777291476726532,0.2508569359779358,0.22927741706371307,-0.056618496775627136,-0.041504502296447754,제쭈당_3
data\images_raw\제철과사람_1.jpg,122.06427376171352,560.0,747.0,1.8666666666666667,7.719421863555908,0.01822289156626506,0.006475903614457832,0.0,0.0,0.2533949017524719,0.2240000218153,0.1977425217628479,0.19387935101985931,0.05565237998962402,0.030120670795440674,제철과사람_1
